,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,total goals,score_dif,Result
0,1872,Scotland,England,0,0,Friendly,Glasgow,Scotland,False,0,0,Draw
1,1873,England,Scotland,4,2,Friendly,London,England,False,6,2,England
2,1874,Scotland,England,2,1,Friendly,Glasgow,Scotland,False,3,1,Scotland
3,1875,England,Scotland,2,2,Friendly,London,England,False,4,0,Draw
4,1876,Scotland,England,3,0,Friendly,Glasgow,Scotland,False,3,3,Scotland
5,1876,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False,4,4,Scotland
6,1877,England,Scotland,1,3,Friendly,London,England,False,4,-2,Scotland
7,1877,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False,2,-2,Scotland
8,1878,Scotland,England,7,2,Friendly,Glasgow,Scotland,False,9,5,Scotland
9,1878,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False,9,9,Scotland
10,1879,England,Wales,2,1,Friendly,London,England,False,3,1,England
11,1879,England,Scotland,5,4,Friendly,London,England,False,9,1,England
12,1879,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,3,-3,Scotland
13,1880,Scotland,England,5,4,Friendly,Glasgow,Scotland,False,9,1,Scotland
14,1880,Wales,England,2,3,Friendly,Wrexham,Wales,False,5,-1,England
15,1880,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False,6,4,Scotland
16,1881,England,Wales,0,1,Friendly,Blackburn,England,False,1,-1,Wales
17,1881,England,Scotland,1,6,Friendly,London,England,False,7,-5,Scotland
18,1881,Wales,Scotland,1,5,Friendly,Wrexham,Wales,False,6,-4,Scotland
19,1882,Northern Ireland,England,0,13,Friendly,Belfast,Republic of Ireland,False,13,-13,England
20,1882,Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,False,8,6,Wales
21,1882,Scotland,England,5,1,Friendly,Glasgow,Scotland,False,6,4,Scotland
22,1882,Wales,England,5,3,Friendly,Wrexham,Wales,False,8,2,Wales
23,1882,Scotland,Wales,5,0,Friendly,Glasgow,Scotland,False,5,5,Scotland
24,1883,England,Wales,5,0,Friendly,London,England,False,5,5,England
25,1883,England,Northern Ireland,7,0,Friendly,Liverpool,England,False,7,7,England
26,1883,England,Scotland,2,3,Friendly,Sheffield,England,False,5,-1,Scotland
27,1883,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,3,-3,Scotland
28,1883,Northern Ireland,Wales,1,1,Friendly,Belfast,Republic of Ireland,False,2,0,Draw
29,1884,Northern Ireland,Scotland,0,5,British Championship,Belfast,Republic of Ireland,False,5,-5,Scotland
30,1884,Wales,Northern Ireland,6,0,British Championship,Wrexham,Wales,False,6,6,Wales
31,1884,Northern Ireland,England,1,8,British Championship,Belfast,Republic of Ireland,False,9,-7,England
32,1884,Scotland,England,1,0,British Championship,Glasgow,Scotland,False,1,1,Scotland
33,1884,Wales,England,0,4,British Championship,Wrexham,Wales,False,4,-4,England
34,1884,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False,5,3,Scotland
35,1885,England,Northern Ireland,4,0,British Championship,Manchester,England,False,4,4,England
36,1885,England,Wales,1,1,British Championship,Blackburn,England,False,2,0,Draw
37,1885,Scotland,Northern Ireland,8,2,British Championship,Glasgow,Scotland,False,10,6,Scotland
38,1885,England,Scotland,1,1,British Championship,London,England,False,2,0,Draw
39,1885,Wales,Scotland,1,8,British Championship,Wrexham,Wales,False,9,-7,Scotland
40,1885,Northern Ireland,Wales,2,8,British Championship,Belfast,Republic of Ireland,False,10,-6,Wales
41,1885,United States,Canada,0,1,Friendly,Newark,United States,False,1,-1,Canada
42,1886,Wales,Northern Ireland,5,0,British Championship,Wrexham,Wales,False,5,5,Wales
43,1886,Northern Ireland,England,1,6,British Championship,Belfast,Republic of Ireland,False,7,-5,England
44,1886,Northern Ireland,Scotland,2,7,British Championship,Belfast,Republic of Ireland,False,9,-5,Scotland
45,1886,Scotland,England,1,1,British Championship,Glasgow,Scotland,False,2,0,Draw
46,1886,Wales,England,1,3,British Championship,Wrexham,Wales,False,4,-2,England
47,1886,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False,5,3,Scotland
48,1886,United States,Canada,3,2,Friendly,Newark,United States,False,5,1,United States
49,1887,England,Northern Ireland,7,0,British Championship,Sheffield,England,False,7,7,England
50,1887,Scotland,Northern Ireland,4,1,British Championship,Glasgow,Scotland,False,5,3,Scotland
51,1887,England,Wales,4,0,British Championship,London,England,False,4,4,England
52,1887,Northern Ireland,Wales,4,1,British Championship,Belfast,Republic of Ireland,False,5,3,Northern Ireland
53,1887,England,Scotland,2,3,British Championship,Blackburn,England,False,5,-1,Scotland
54,1887,Wales,Scotland,0,2,British Championship,Wrexham,Wales,False,2,-2,Scotland
55,1888,England,Wales,5,1,British Championship,Crewe,England,False,6,4,England
56,1888,Wales,Northern Ireland,11,0,British Championship,Wrexham,Wales,False,11,11,Wales
57,1888,Scotland,Wales,5,1,British Championship,Edinburgh,Scotland,False,6,4,Scotland
58,1888,Scotland,England,0,5,British Championship,Glasgow,Scotland,False,5,-5,England
59,1888,Northern Ireland,Scotland,2,10,British Championship,Belfast,Republic of Ireland,False,12,-8,Scotland
60,1888,Northern Ireland,England,1,5,British Championship,Belfast,Republic of Ireland,False,6,-4,England
61,1888,Scotland,Canada,4,0,Friendly,Glasgow,Scotland,False,4,4,Scotland
62,1889,England,Wales,4,1,British Championship,Stoke-on-Trent,England,False,5,3,England
63,1889,England,Northern Ireland,6,1,British Championship,Liverpool,England,False,7,5,England
64,1889,Scotland,Northern Ireland,7,0,British Championship,Glasgow,Scotland,False,7,7,Scotland
65,1889,England,Scotland,2,3,British Championship,London,England,False,5,-1,Scotland
66,1889,Wales,Scotland,0,0,British Championship,Wrexham,Wales,False,0,0,Draw
67,1889,Northern Ireland,Wales,1,3,British Championship,Belfast,Republic of Ireland,False,4,-2,Wales
68,1890,Wales,Northern Ireland,5,2,British Championship,Shrewsbury,England,True,7,3,Wales
69,1890,Northern Ireland,England,1,9,British Championship,Belfast,Republic of Ireland,False,10,-8,England
70,1890,Wales,England,1,3,British Championship,Wrexham,Wales,False,4,-2,England
71,1890,Scotland,Wales,5,0,British Championship,Paisley,Scotland,False,5,5,Scotland
72,1890,Northern Ireland,Scotland,1,4,British Championship,Belfast,Republic of Ireland,False,5,-3,Scotland
73,1890,Scotland,England,1,1,British Championship,Glasgow,Scotland,False,2,0,Draw
74,1891,Northern Ireland,Wales,7,2,British Championship,Belfast,Republic of Ireland,False,9,5,Northern Ireland
75,1891,England,Wales,4,1,British Championship,Sunderland,England,False,5,3,England
76,1891,England,Northern Ireland,6,1,British Championship,Wolverhampton,England,False,7,5,England
77,1891,Wales,Scotland,3,4,British Championship,Wrexham,Wales,False,7,-1,Scotland
78,1891,Scotland,Northern Ireland,2,1,British Championship,Glasgow,Scotland,False,3,1,Scotland
79,1892,Wales,Northern Ireland,1,1,British Championship,Bangor,Wales,False,2,0,Draw
80,1892,Northern Ireland,England,0,2,British Championship,Belfast,Republic of Ireland,False,2,-2,England
81,1892,Wales,England,0,2,British Championship,Wrexham,Wales,False,2,-2,England
82,1892,Northern Ireland,Scotland,2,3,British Championship,Belfast,Republic of Ireland,False,5,-1,Scotland
83,1892,Scotland,Wales,6,1,British Championship,Edinburgh,Scotland,False,7,5,Scotland
84,1892,Scotland,England,1,4,British Championship,Glasgow,Scotland,False,5,-3,England
